1,aardvark,FALSE
2,alligator,FALSE
3,alpaca,FALSE
4,amphibian,FALSE
5,anemone,FALSE
6,ant,FALSE
7,anteater,FALSE
8,antelope,FALSE
9,ape,FALSE
10,armadillo,FALSE
11,donkey,FALSE
12,baboon,FALSE
13,badger,FALSE
14,fish,FALSE
15,bat,FALSE
16,bear,FALSE
17,beaver,FALSE
18,bee,FALSE
19,beetle,FALSE
20,bird,FALSE
21,bison,FALSE
22,bluejay,FALSE
23,boa_constrictor,FALSE
24,bobcat,FALSE
25,buffalo,FALSE
26,bull,FALSE
27,bumblebee,FALSE
28,bunny,FALSE
29,butterfly,FALSE
30,buzzard,FALSE
31,cow,FALSE
32,camel,FALSE
33,canary,FALSE
34,cardinal,FALSE
35,caribou,FALSE
36,cat,FALSE
37,caterpillar,FALSE
38,centipede,FALSE
39,chameleon,FALSE
40,cheetah,FALSE
41,chickadee,FALSE
42,chicken,FALSE
43,chimp,FALSE
44,chinchilla,FALSE
45,chipmunk,FALSE
46,clam,FALSE
47,cobra,FALSE
48,cockatiel,FALSE
49,cockroach,FALSE
50,colt,FALSE
51,racoon,FALSE
52,cougar,FALSE
53,coyote,FALSE
54,crab,FALSE
55,crane,FALSE
56,cricket,FALSE
57,crocodile,FALSE
58,crow,FALSE
59,deer,FALSE
60,dingo,FALSE
61,dog,FALSE
62,dolphin,FALSE
63,dove,FALSE
64,duck,FALSE
65,eagle,FALSE
66,worm,FALSE
67,eel,FALSE
68,elephant,FALSE
69,elk,FALSE
70,emu,FALSE
71,weasel,FALSE
72,sheep,FALSE
73,falcon,FALSE
74,marten,FALSE
75,flamingo,FALSE
76,flea,FALSE
77,fly,FALSE
78,fowl,FALSE
79,fox,FALSE
80,frog,FALSE
81,gazelle,FALSE
82,gecko,FALSE
83,gerbil,FALSE
84,gibbon,FALSE
85,gilamonster,FALSE
86,giraffe,FALSE
87,gnat,FALSE
88,wildebeest,FALSE
89,goat,FALSE
90,goose,FALSE
91,gopher,FALSE
92,gorilla,FALSE
93,grasshopper,FALSE
94,groundhog,FALSE
95,grouse,FALSE
96,Guinea_pig,FALSE
97,gull,FALSE
98,hamster,FALSE
99,hare,FALSE
100,hawk,FALSE
101,hedgehog,FALSE
102,heron,FALSE
103,hippopotamus,FALSE
104,hornet,FALSE
105,horse,FALSE
106,human,FALSE
107,hummingbird,FALSE
108,hyena,FALSE
109,ibis,FALSE
110,iguana,FALSE
111,impala,FALSE
112,insect,FALSE
113,jackal,FALSE
114,jackrabbit,FALSE
115,jaguar,FALSE
116,pig,FALSE
117,kangaroo,FALSE
118,koala,FALSE
119,ladybug,FALSE
120,lamb,FALSE
121,lemur,FALSE
122,leopard,FALSE
123,lion,FALSE
124,lizard,FALSE
125,llama,FALSE
126,lobster,FALSE
127,loon,FALSE
128,lynx,FALSE
129,manatee,FALSE
130,mare,FALSE
131,mole,FALSE
132,mongoose,FALSE
133,monkey,FALSE
134,moose,FALSE
135,mosquito,FALSE
136,moth,FALSE
137,mouse,FALSE
138,mule,FALSE
139,musky,FALSE
140,muskox,FALSE
141,muskrat,FALSE
142,newt,FALSE
143,ocelot,FALSE
144,octopus,FALSE
145,opossum,FALSE
146,orangutan,FALSE
147,oriole,FALSE
148,ostrich,FALSE
149,otter,FALSE
150,owl,FALSE
151,ox,FALSE
152,panda,FALSE
153,panther,FALSE
154,parrot,FALSE
155,peacock,FALSE
156,pelican,FALSE
157,penguin,FALSE
158,pigeon,FALSE
159,platypus,FALSE
160,polar_bear,FALSE
161,pony,FALSE
162,porcupine,FALSE
163,porpoise,FALSE
164,prairie_dog,FALSE
165,puma,FALSE
166,python,FALSE
167,quail,FALSE
168,rabbit,FALSE
169,raccoon,FALSE
170,ram,FALSE
171,rat,FALSE
172,rattlesnake,FALSE
173,raven,FALSE
174,squirrel,FALSE
175,reindeer,FALSE
176,rhinoceros,FALSE
177,roadrunner,FALSE
178,robin,FALSE
179,rodent,FALSE
180,rooster,FALSE
181,salamander,FALSE
182,seagull,FALSE
183,seal,FALSE
184,sea_lion,FALSE
185,shark,FALSE
186,shrew,FALSE
187,shrimp,FALSE
188,skunk,FALSE
189,sloth,FALSE
190,snail,FALSE
191,snake,FALSE
192,sparrow,FALSE
193,spider,FALSE
194,squid,FALSE
195,swan,FALSE
196,tadpole,FALSE
197,tapir,FALSE
198,tasmanian_devil,FALSE
199,tiger,FALSE
200,wolf,FALSE
201,tortoise,FALSE
202,turkey,FALSE
203,turtle,FALSE
204,vole,FALSE
205,vulture,FALSE
206,wallaby,FALSE
207,walrus,FALSE
208,wasp,FALSE
209,whale,FALSE
210,wolverine,FALSE
211,wombat,FALSE
212,woodchuck,FALSE
213,woodpecker,FALSE
214,wren,FALSE
215,yak,FALSE
216,zebra,FALSE
217,pig,FALSE
218,fish,FALSE
